run_id,project,config,workflow,stage,energy_joules,duration_seconds,timestamp,python_version
32661090649,retrofit,C4,P03 Retrofit C4 Combined,test-execution,308.074,58.62,,
32661088223,retrofit,C2,P03 Retrofit C2 Tests,checkout,4.37465,1.18,,
32661088223,retrofit,C2,P03 Retrofit C2 Tests,test-execution,381.465,81.56,,
32660829025,gson,C3,P05 Gson C3 Consolidated,test-execution,274.206,47.5,,
32660827760,retrofit,C4,P03 Retrofit C4 Combined,checkout,4.83031,1.37,,
32660827760,retrofit,C4,P03 Retrofit C4 Combined,test-execution,311.891,59.11,,
32660825824,retrofit,C2,P03 Retrofit C2 Tests,checkout,3.25422,1.22,,
32660825824,retrofit,C2,P03 Retrofit C2 Tests,test-execution,340.732,67.01,,
32660823221,httpie,C1,P01 HTTPie C1 Tests,checkout,6.00187,1.63,,3.10
32660823221,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,115.137,28.64,,3.10
32660823221,httpie,C1,P01 HTTPie C1 Tests,test-execution,366.519,102.42,,3.10
32660823221,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,97.9861,24.09,,3.12
32660823221,httpie,C1,P01 HTTPie C1 Tests,test-execution,343.946,96.86,,3.12
32660823221,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,91.0747,22.15,,3.11
32660823221,httpie,C1,P01 HTTPie C1 Tests,test-execution,325.111,91.91,,3.11
32660571251,gson,C3,P05 Gson C3 Consolidated,checkout,5.11853,1.14,,
32660571251,gson,C3,P05 Gson C3 Consolidated,test-execution,302.355,54.26,,
32660569862,retrofit,C4,P03 Retrofit C4 Combined,checkout,3.72673,1.14,,
32660569862,retrofit,C4,P03 Retrofit C4 Combined,test-execution,335.643,66.91,,
32660567954,retrofit,C2,P03 Retrofit C2 Tests,checkout,4.58935,1.24,,
32660567954,retrofit,C2,P03 Retrofit C2 Tests,test-execution,282.668,60.43,,
32660565347,httpie,C1,P01 HTTPie C1 Tests,checkout,3.44544,1.16,,3.12
32660565347,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,93.0274,22.95,,3.12
32660565347,httpie,C1,P01 HTTPie C1 Tests,test-execution,349.425,98.17,,3.12
32660565347,httpie,C1,P01 HTTPie C1 Tests,checkout,4.7122,1.06,,3.10
32660565347,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,108.922,26.2,,3.10
32660565347,httpie,C1,P01 HTTPie C1 Tests,test-execution,336.04,94.86,,3.10
32660565347,httpie,C1,P01 HTTPie C1 Tests,checkout,5.48561,1.26,,3.11
32660565347,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,100.609,24.24,,3.11
32660565347,httpie,C1,P01 HTTPie C1 Tests,test-execution,324.984,92.89,,3.11
32660565749,httpie,C2,P01 HTTPie C2 Tests,checkout,4.61313,1.26,,3.10
32660565749,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,92.5381,22.84,,3.10
32660565749,httpie,C2,P01 HTTPie C2 Tests,test-execution,370.657,102.73,,3.10
32660565749,httpie,C2,P01 HTTPie C2 Tests,checkout,4.9709,1.13,,3.11
32660565749,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,84.9089,20.72,,3.11
32660565749,httpie,C2,P01 HTTPie C2 Tests,test-execution,322.558,92.1,,3.11
32660565749,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,73.6741,17.9,,3.12
32660565749,httpie,C2,P01 HTTPie C2 Tests,test-execution,340.658,95.38,,3.12
